Dataset,SGA Time (s),SGABS Time (s),ECL Time (s),ECLML Time (s),SGA Colors,SGABS Colors,ECL Colors,ECLML Colors
2d-2e20.sym.egr,.037309,.036929,.077272,.075412,5.00,5.00,5.00,5.00
amazon0601.egr,.024252,.024486,.061070,.060487,16.00,15.90,12.00,12.00
as-skitter.egr,.076724,.076627,.294426,.307014,82.50,82.70,71.00,71.00
citationCiteseer.egr,.014186,.014117,.031926,.031337,17.30,17.10,13.00,13.00
cit-Patents.egr,.240975,.242844,.729273,.713457,19.10,19.10,14.00,14.00
delaunay_n24.egr,.588507,.587878,1.817922,1.810809,8.10,8.00,6.00,6.00
in-2004.egr,.058988,.066531,.583832,.593048,256.00,256.00,489.00,489.00
internet.egr,.004082,.004035,.006086,.006061,9.90,9.70,8.00,8.00
rmat22.sym.egr,.464501,.451829,2.957961,3.104174,65.10,65.50,38.00,38.00
soc-LiveJournal1.egr,.356239,.357921,2.942803,3.093891,256.00,256.00,323.00,323.00
USA-road-d.USA.egr,.505178,.473827,1.141490,1.138669,5.00,5.00,5.00,5.00
