Dataset,ECL Time (s),ECLML Time (s),ECLCR Time (s),SGA Time (s),SGABS Time (s),ECL Colors,ECLML Colors,ECLCR Colors
2d-2e20.sym.egr,.103794,.090508,.095477,.000746,.001036,5.00,5.00,5.00
amazon0601.egr,.088878,.080279,.094238,.001129,.000450,12.00,12.00,12.00
as-skitter.egr,.136971,.137976,.171481,.012877,.003324,71.00,71.00,70.00
citationCiteseer.egr,.076591,.072769,.089236,.000592,.000391,13.00,13.00,13.00
cit-Patents.egr,.199254,.198516,.272733,.003951,.003934,14.00,14.00,13.00
delaunay_n24.egr,.384521,.389771,.543923,.019760,.016210,6.00,6.00,6.00
in-2004.egr,.151476,.154497,.173387,.006972,.001660,489.00,489.00,489.00
internet.egr,.075455,.070795,.069178,.000365,.000139,8.00,8.00,7.00
rmat22.sym.egr,.384149,.384342,.509570,.007345,.005541,38.00,38.00,37.00
soc-LiveJournal1.egr,.333095,.331347,.433310,.012414,.006102,323.00,323.00,322.00
USA-road-d.USA.egr,.430258,.438180,.586372,.014428,.020500,5.00,5.00,4.00
